 curl -X POST http://127.0.0.1:8008/chat \
    -H "Content-Type: application/json" \
    -H "memberId: test_user" \
    -H "platId: 0" \
    -d '{"sid":"test123","q":"北京三日游"}'
data: {"type": "thinking", "text": "### 分析用户需求\n#### 旅行规划路线不明确，语言简体中文\n"}

data: {"type": "thinking", "text": "🔍 正在搜索相关信息...\n"}

data: {"type": "thinking", "text": "### 设计旅行路线\n#### 设计三日游行程，包含景点和交通安排\n"}

data: {"type": "thinking", "text": "### 分析用户需求\n#### 规划北京三日游行程，包括景点住宿交通餐饮天气\n"}

data: {"type": "thinking", "text": "### 制定行程方案\n#### 规划北京三日游，涵盖景点住宿交通，确保节奏适中\n"}

data: {"type": "thinking", "text": "### 搜索景点\n#### 搜索北京市经典文化与地标相关景点\n"}

data: {"type": "thinking", "text": "### 查询酒店\n#### 北京市市中心，入住日期为2026-05-12，离店日期为2026-05-14\n"}

data: {"type": "thinking", "text": "### 查询交通方式\n#### 查询北京市天安门广场的地铁公交打车信息\n"}

data: {"type": "thinking", "text": "### 分析现有情况\n#### 住宿交通信息完备，景点行程缺失，需补充整合\n"}

data: {"type": "thinking", "text": "### 分析现有情况\n#### 获取北京三日游经典行程安排，包含景点、交通、餐饮等信息\n"}

data: {"type": "thinking", "text": "### 规划旅行线路\n#### 基于实时数据与用户线路进行深入分析和规划\n"}

data: {"type": "thinking", "text": "### 规划行程\n#### 游览天安门广场、故宫、天坛、雍和宫、颐和园、圆明园、奥林匹克公园\n"}

data: {"type": "thinking", "text": "### 规划旅行线路\n#### 基于实时数据与用户线路进行深入分析和规划\n"}

data: {"type": "thinking", "text": "### 检查结果\n#### 行程安排不合理，时间风险高，景点交通时间紧张，午餐安排冲突\n"}

data: {"type": "thinking", "text": "### 调整行程安排\n#### 优化返程时间、交通衔接及午餐时间，取消部分景点以确保安全\n"}

data: {"type": "thinking", "text": "### 规划旅行线路\n#### 基于实时数据与用户线路进行深度分析和规划\n"}

data: {"type": "thinking", "text": "### 优化行程安排\n#### 取消奥林匹克公园行程，调整颐和园午餐时间，延长圆明园游览时间，优化交通与安检安排\n"}

data: {"type": "thinking", "text": "### 规划行程\n#### 游览天安门广场、故宫、天坛、雍和宫、颐和园等景点，品尝北京小吃\n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "# 🏯 古都京韵"}

data: {"type": "answer", "text": "·北京皇城文化深度"}

data: {"type": "answer", "text": "三日游"}

data: {"type": "answer", "text": " 🏮"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "\n📅 行程总"}

data: {"type": "answer", "text": "览  \n- "}

data: {"type": "answer", "text": "日期：20"}

data: {"type": "answer", "text": "26年5月12"}

data: {"type": "answer", "text": "日 – 2"}

data: {"type": "answer", "text": "026年"}

data: {"type": "answer", "text": "5月14"}

data: {"type": "answer", "text": "日  \n-"}

data: {"type": "answer", "text": " 路线：天"}

data: {"type": "answer", "text": "安门广场 →"}

data: {"type": "answer", "text": " 故宫 →"}

data: {"type": "answer", "text": " 景山"}

data: {"type": "answer", "text": " → 前门"}

data: {"type": "answer", "text": "大街 → 天坛 →"}

data: {"type": "answer", "text": " 雍和"}

data: {"type": "answer", "text": "宫 → 颐和"}

data: {"type": "answer", "text": "园 → 圆明园  \n"}

data: {"type": "answer", "text": "- 主题："}

data: {"type": "answer", "text": "皇家气韵 ×"}

data: {"type": "answer", "text": " 胡同"}

data: {"type": "answer", "text": "烟火 × 皇家园林  \n"}

data: {"type": "answer", "text": "- 住宿："}

data: {"type": "answer", "text": "<a class=\"hotel-link-name\" data-pc=\"https://www.ly.com/hotel/hoteldetail?a=b&hotelId=27776987&inDate=2026-05-12&outDate=2026-05-14&refId=2000305426&refid=2000305426\" data-mainMiniApp=\"/page/hotel/pages/sky/detail/index?a=b&hotelid=27776987&isOutLand=0&indate=2026-05-12&outdate=2026-05-14&timeZone=8&refId=2000305426&refid=2000305426\" data-tcapp=\"tctclient://hotel/details?a=b&hotelId=27776987&checkIn=2026-05-12&checkOut=2026-05-14&isGAT=0&isGlobal=0&refId=2000305426&refid=2000305426\" data-elapp=\"eltclient://hotel/details?a=b&hotelId=27776987&checkIn=2026-05-12&checkOut=2026-05-14&isGAT=0&isGlobal=0&refId=2000305426&refid=2000305426\" data-hopegooapp=\"\" data-cstMiniApp=\"/pages/subHotel/pages/detail/detail?refid=&hotelid=27776987&indate=2026-05-12&outdate=2026-05-14&refId=2000305426&refid=2000305426\" href=\"https://m.ly.com/hotel/hoteldetail?a=b&hotelId=27776987&inDate=2026-05-12&outDate=2026-05-14&refId=2000305426&refid=2000305426\" target=\"_blank\">北京华旅宾馆</a>"}

data: {"type": "answer", "text": "（二"}

data: {"type": "answer", "text": "环核心，步行"}

data: {"type": "answer", "text": "可达前门、"}

data: {"type": "answer", "text": "王府井）  \n"}

data: {"type": "answer", "text": "- 天气：5"}

data: {"type": "answer", "text": "月12日"}

data: {"type": "answer", "text": "–14日晴，"}

data: {"type": "answer", "text": "白天气温3"}

data: {"type": "answer", "text": "0℃，夜间17"}

data: {"type": "answer", "text": "℃，干燥少"}

data: {"type": "answer", "text": "雨，建议防晒"}

data: {"type": "answer", "text": "防暑  \n- "}

data: {"type": "answer", "text": "交通：市内以"}

data: {"type": "answer", "text": "地铁+步行为主，部分"}

data: {"type": "answer", "text": "路段建议使用"}

data: {"type": "answer", "text": "<a class=\"taxi-link-name\" data-pc=\"https://m.ly.com/car/view/main.html#/specialCarIndex/instantCar\" data-applet=\"/page/newusecar/index/index?btype=car&stype=CAR_NOW&refid=2000200373&wxrefid=2000200373\" data-mainMiniApp=\"/page/newusecar/index/index?btype=car&stype=CAR_NOW&refid=2000200373&wxrefid=2000200373\" data-tcapp=\"tctclient://flutter/page?route=takecar_home&takeCarType=12&refId=2000200373\" href=\"https://m.ly.com/car/view/main.html#/specialCarIndex/instantCar\" target=\"_blank\">同程旅行打车</a>"}

data: {"type": "answer", "text": "节省"}

data: {"type": "answer", "text": "体力  \n-"}

data: {"type": "answer", "text": " 出行人群：朋友"}

data: {"type": "answer", "text": "（默认）｜"}

data: {"type": "answer", "text": "人数：1（默认）  \n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "\n\n\n"}

data: {"type": "answer", "text": "# Day1 🌅 晨曦升旗·紫禁城中"}

data: {"type": "answer", "text": "轴线巡礼"}

data: {"type": "answer", "text": "\n\n\n"}

data: {"type": "answer", "text": "# 06:30"}

data: {"type": "answer", "text": "-07:30"}

data: {"type": "answer", "text": " 市内交通"}

data: {"type": "answer", "text": "\n乘坐市内交通前往"}

data: {"type": "answer", "text": " "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_3000.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3000\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3000\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=3000\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=3000\" target=\"_blank\">天安门广场</a>"}

data: {"type": "answer", "text": "，观看庄严的升旗仪式"}

data: {"type": "answer", "text": "。  \n推荐理由："}

data: {"type": "answer", "text": "酒店位于建国门内大街，距天安门约"}

data: {"type": "answer", "text": "5公里，建议"}

data: {"type": "answer", "text": "提前规划出行时间，避开早"}

data: {"type": "answer", "text": "高峰拥堵，确保准时抵达"}

data: {"type": "answer", "text": "观礼区。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 07:30"}

data: {"type": "answer", "text": "-09:00"}

data: {"type": "answer", "text": " 游览景点"}

data: {"type": "answer", "text": "\n游览 "}

